S10.G00.00.001,'Banco'
S10.G00.00.002,'PL Diffusion'
S10.G00.00.003,'7'
S10.G00.00.005,'02'
S10.G00.00.006,'P23V01'
S10.G00.00.007,'01'
S10.G00.00.008,'01'
S10.G00.01.001,'445262470'
S10.G00.01.002,'00153'
S10.G00.01.003,'PIMENT INTERIM NANTES2'
S10.G00.01.004,'12 Rue Boileau'
S10.G00.01.005,'44000'
S10.G00.01.006,'NANTES'
S10.G00.02.001,'02'
S10.G00.02.002,'LECLERCQ Maria'
S10.G00.02.004,'pimentinterimnantes2@optima-groupe.fr'
S10.G00.02.005,'0145140930'
S20.G00.05.001,'01'
S20.G00.05.002,'01'
S20.G00.05.003,'12'
S20.G00.05.004,'1'
S20.G00.05.005,'01082023'
S20.G00.05.007,'04092023'
S20.G00.05.008,'01'
S20.G00.05.009,'20230801'
S20.G00.05.010,'01'
S20.G00.07.001,'AÏDEL Sophia'
S20.G00.07.002,'01.45.14.09.29'
S20.G00.07.003,'servicerh@groupepiment.fr'
S20.G00.07.004,'01'
S21.G00.06.001,'445262470'
S21.G00.06.002,'00039'
S21.G00.06.003,'7820Z'
S21.G00.06.004,'33 Avenue de la République'
S21.G00.06.005,'94300'
S21.G00.06.006,'VINCENNES'
S21.G00.06.009,'1200'
S21.G00.11.001,'00153'
S21.G00.11.002,'7820Z'
S21.G00.11.003,'12 Rue Boileau'
S21.G00.11.004,'44000'
S21.G00.11.005,'NANTES'
S21.G00.11.008,'6'
S21.G00.11.009,'01'
S21.G00.11.017,'01'
S21.G00.11.022,'1413'
S21.G00.15.001,'PIMENTINTERIM'
S21.G00.15.002,'775685340'
S21.G00.15.004,'01'
S21.G00.15.005,'9'
S21.G00.15.001,'PIMENTINTERPREV'
S21.G00.15.002,'775685340'
S21.G00.15.004,'01'
S21.G00.15.005,'11'
S21.G00.20.001,'39481650800029'
S21.G00.20.003,'SOGEFRPP'
S21.G00.20.004,'FR7630003022670002000309935'
S21.G00.20.005,'2485.04'
S21.G00.20.006,'01082023'
S21.G00.20.007,'31082023'
S21.G00.20.010,'05'
S21.G00.20.011,'25092023'
S21.G00.20.001,'775685340'
S21.G00.20.003,'SOGEFRPP'
S21.G00.20.004,'FR7630003022670002000309935'
S21.G00.20.005,'165.01'
S21.G00.20.006,'01012000'
S21.G00.20.007,'01012000'
S21.G00.20.010,'05'
S21.G00.20.011,'30092023'
S21.G00.55.001,'80.26'
S21.G00.55.002,'02CA'
S21.G00.55.003,'PIMENTINTERPREV'
S21.G00.55.004,'2023M08'
S21.G00.55.001,'84.75'
S21.G00.55.002,'03NC'
S21.G00.55.003,'PIMENTINTERPREV'
S21.G00.55.004,'2023M08'
S21.G00.20.001,'775685340'
S21.G00.20.003,'SOGEFRPP'
S21.G00.20.004,'FR7630003022670002000309935'
S21.G00.20.005,'587.28'
S21.G00.20.006,'01012000'
S21.G00.20.007,'01012000'
S21.G00.20.010,'05'
S21.G00.20.011,'30092023'
S21.G00.55.001,'587.28'
S21.G00.55.002,'01EP'
S21.G00.55.003,'PIMENTINTERIM'
S21.G00.55.004,'2023M08'
S21.G00.20.001,'DGFIP'
S21.G00.20.002,'DGFIP_PAS'
S21.G00.20.003,'CCFRFRPP'
S21.G00.20.004,'FR7630056009230923001886707'
S21.G00.20.005,'1017.00'
S21.G00.20.006,'01082023'
S21.G00.20.007,'31082023'
S21.G00.20.010,'05'
S21.G00.22.001,'78861779300013'
S21.G00.22.003,'01082023'
S21.G00.22.004,'31082023'
S21.G00.22.005,'9251.00'
S21.G00.23.001,'027'
S21.G00.23.002,'920'
S21.G00.23.004,'20859.69'
S21.G00.23.001,'100'
S21.G00.23.002,'920'
S21.G00.23.003,'0.55'
S21.G00.23.004,'20859.69'
S21.G00.23.001,'100'
S21.G00.23.002,'921'
S21.G00.23.004,'18261.02'
S21.G00.23.001,'236'
S21.G00.23.002,'920'
S21.G00.23.004,'20859.69'
S21.G00.23.001,'260'
S21.G00.23.002,'920'
S21.G00.23.004,'20895.18'
S21.G00.23.001,'479'
S21.G00.23.002,'920'
S21.G00.23.004,'407.69'
S21.G00.23.001,'635'
